otu	phylum
OTU282	Bacteroidetes
OTU283	Proteobacteria
OTU284	Actinobacteria
OTU285	Gemmatimonadetes
OTU286	Gemmatimonadetes
OTU287	Actinobacteria
OTU288	Acidobacteria
OTU289	Actinobacteria
OTU290	Firmicutes
OTU291	Chloroflexi
OTU292	Chloroflexi
OTU293	Proteobacteria
OTU294	Proteobacteria
OTU295	Actinobacteria
OTU296	Proteobacteria
OTU297	Chloroflexi
OTU298	Chloroflexi
OTU299	Bacteroidetes
OTU300	
OTU301	Proteobacteria
OTU302	Proteobacteria
OTU303	Proteobacteria
OTU304	Actinobacteria
OTU305	Proteobacteria
OTU306	Chloroflexi
OTU307	Chloroflexi
OTU308	Gemmatimonadetes
OTU309	Thaumarchaeota
OTU310	Gemmatimonadetes
OTU311	Proteobacteria
OTU312	Gemmatimonadetes
OTU313	Proteobacteria
OTU314	Acidobacteria
OTU315	Planctomycetes
OTU316	Chloroflexi
OTU317	Actinobacteria
OTU318	Acidobacteria
OTU319	Actinobacteria
OTU320	Proteobacteria
OTU321	Actinobacteria
OTU322	Planctomycetes
OTU323	Proteobacteria
OTU324	Proteobacteria
OTU325	
OTU326	Actinobacteria
OTU327	Proteobacteria
OTU328	Actinobacteria
OTU329	Gemmatimonadetes
OTU330	Gemmatimonadetes
OTU331	Proteobacteria
OTU332	Actinobacteria
OTU333	Acidobacteria
OTU334	Acidobacteria
OTU335	Proteobacteria
OTU336	Firmicutes
OTU337	Actinobacteria
OTU338	Actinobacteria
OTU339	Planctomycetes
OTU340	Proteobacteria
OTU341	Proteobacteria
OTU342	Proteobacteria
OTU343	Proteobacteria
OTU344	Proteobacteria
OTU345	Actinobacteria
OTU346	Actinobacteria
OTU347	Firmicutes
OTU348	Proteobacteria
OTU349	Gemmatimonadetes
OTU350	Nitrospirae
OTU351	Actinobacteria
OTU352	Acidobacteria
OTU353	Actinobacteria
OTU354	Gemmatimonadetes
OTU355	Firmicutes
OTU356	Proteobacteria
OTU357	Actinobacteria
OTU358	Proteobacteria
OTU359	Actinobacteria
OTU360	Actinobacteria
OTU361	Proteobacteria
OTU362	Actinobacteria
OTU363	Actinobacteria
OTU364	Bacteroidetes
OTU365	Chloroflexi
OTU366	Proteobacteria
OTU367	Actinobacteria
OTU368	Proteobacteria
OTU369	Proteobacteria
OTU370	Acidobacteria
OTU371	Firmicutes
OTU372	Proteobacteria
OTU373	Proteobacteria
OTU374	Proteobacteria
OTU375	Acidobacteria
OTU376	Chloroflexi
OTU377	Acidobacteria
OTU378	Actinobacteria
OTU379	Actinobacteria
OTU380	Acidobacteria
OTU381	Verrucomicrobia
OTU382	Proteobacteria
OTU383	Armatimonadetes
OTU384	Actinobacteria
OTU385	Thaumarchaeota
OTU386	Proteobacteria
OTU387	Chloroflexi
OTU388	Actinobacteria
OTU389	Acidobacteria
OTU390	Proteobacteria
OTU391	Actinobacteria
OTU392	Chloroflexi
OTU393	Acidobacteria
OTU394	Proteobacteria
OTU395	Gemmatimonadetes
OTU396	Actinobacteria
OTU397	Proteobacteria
OTU398	Proteobacteria
OTU399	Proteobacteria
OTU400	Gemmatimonadetes
OTU401	Chloroflexi
OTU402	Proteobacteria
OTU403	Proteobacteria
OTU404	Proteobacteria
OTU405	Gemmatimonadetes
OTU406	Actinobacteria
OTU407	Actinobacteria
OTU408	Gemmatimonadetes
OTU409	Actinobacteria
OTU410	Actinobacteria
OTU411	Proteobacteria
OTU412	Planctomycetes
OTU413	Proteobacteria
OTU414	Proteobacteria
OTU415	Planctomycetes
OTU416	Actinobacteria
OTU417	Proteobacteria
OTU418	Gemmatimonadetes
OTU419	Actinobacteria
OTU420	Proteobacteria
OTU421	Actinobacteria
OTU422	Proteobacteria
OTU423	Proteobacteria
OTU424	Gemmatimonadetes
OTU425	Planctomycetes
OTU426	Thaumarchaeota
OTU427	Proteobacteria
OTU428	Firmicutes
OTU429	Acidobacteria
OTU430	Gemmatimonadetes
OTU431	Proteobacteria
OTU432	Proteobacteria
OTU433	Proteobacteria
OTU434	Actinobacteria
OTU435	Actinobacteria
OTU436	Acidobacteria
OTU437	Actinobacteria
