otu	phylum
OTU918	Chloroflexi
OTU919	Actinobacteria
OTU920	Gemmatimonadetes
OTU921	Actinobacteria
OTU922	Acidobacteria
OTU923	Proteobacteria
OTU924	Actinobacteria
OTU925	Actinobacteria
OTU926	Proteobacteria
OTU927	Proteobacteria
OTU928	Proteobacteria
OTU929	Planctomycetes
OTU930	Chloroflexi
OTU931	Actinobacteria
OTU932	Proteobacteria
OTU933	Actinobacteria
OTU934	Acidobacteria
OTU935	Planctomycetes
OTU936	Actinobacteria
OTU937	Firmicutes
OTU938	Actinobacteria
OTU939	Actinobacteria
OTU940	Gemmatimonadetes
OTU941	Proteobacteria
OTU942	Chloroflexi
OTU943	Actinobacteria
OTU944	Actinobacteria
OTU945	Bacteroidetes
OTU946	Chloroflexi
OTU947	TM7
OTU948	Proteobacteria
OTU949	Chloroflexi
OTU950	Chloroflexi
OTU951	Firmicutes
OTU952	Proteobacteria
OTU953	Acidobacteria
OTU954	
OTU955	Chloroflexi
OTU956	Verrucomicrobia
OTU957	Actinobacteria
OTU958	Actinobacteria
OTU959	Proteobacteria
OTU960	Proteobacteria
OTU961	Actinobacteria
OTU962	Proteobacteria
OTU963	Chloroflexi
OTU964	Chloroflexi
OTU965	Actinobacteria
OTU966	Bacteroidetes
OTU967	Proteobacteria
OTU968	Chloroflexi
OTU969	Proteobacteria
OTU970	Actinobacteria
OTU971	Actinobacteria
OTU972	Chloroflexi
OTU973	Firmicutes
OTU974	Proteobacteria
OTU975	Proteobacteria
OTU976	Actinobacteria
OTU977	Proteobacteria
OTU978	Acidobacteria
OTU979	Proteobacteria
OTU980	Gemmatimonadetes
OTU981	Actinobacteria
OTU982	Gemmatimonadetes
OTU983	Planctomycetes
OTU984	Proteobacteria
OTU985	Actinobacteria
OTU986	Acidobacteria
OTU987	Chloroflexi
OTU988	Proteobacteria
OTU989	Proteobacteria
OTU990	Proteobacteria
OTU991	Planctomycetes
OTU992	Proteobacteria
OTU993	Chloroflexi
OTU994	Actinobacteria
OTU995	Acidobacteria
OTU996	Proteobacteria
OTU997	Planctomycetes
OTU998	Proteobacteria
OTU999	Acidobacteria
OTU1000	Proteobacteria
OTU1001	Crenarchaeota
OTU1002	Proteobacteria
OTU1003	Chloroflexi
OTU1004	Actinobacteria
OTU1005	Bacteroidetes
OTU1006	Chloroflexi
OTU1007	Chloroflexi
OTU1008	Proteobacteria
OTU1009	Proteobacteria
OTU1010	Gemmatimonadetes
OTU1011	Acidobacteria
OTU1012	Chloroflexi
OTU1013	Proteobacteria
OTU1014	Actinobacteria
OTU1015	Gemmatimonadetes
OTU1016	Actinobacteria
OTU1017	Proteobacteria
OTU1018	Acidobacteria
OTU1019	Actinobacteria
OTU1020	Actinobacteria
OTU1021	Bacteroidetes
OTU1022	Acidobacteria
OTU1023	Actinobacteria
OTU1024	Proteobacteria
OTU1025	Proteobacteria
OTU1026	Proteobacteria
OTU1027	Proteobacteria
OTU1028	Chloroflexi
OTU1029	Gemmatimonadetes
OTU1030	Acidobacteria
OTU1031	Proteobacteria
OTU1032	Proteobacteria
OTU1033	Chloroflexi
OTU1034	Proteobacteria
OTU1035	Actinobacteria
OTU1036	TM7
OTU1037	Chloroflexi
OTU1038	Verrucomicrobia
OTU1039	Chloroflexi
OTU1040	Firmicutes
OTU1041	Actinobacteria
OTU1042	Proteobacteria
OTU1043	Bacteroidetes
OTU1044	Acidobacteria
OTU1045	Acidobacteria
OTU1046	Actinobacteria
OTU1047	Planctomycetes
OTU1048	Chloroflexi
OTU1049	Bacteroidetes
OTU1050	Chloroflexi
OTU1051	Proteobacteria
OTU1052	
OTU1053	Chloroflexi
OTU1054	Chloroflexi
OTU1055	Firmicutes
OTU1056	Actinobacteria
OTU1057	Actinobacteria
OTU1058	Proteobacteria
OTU1059	Actinobacteria
OTU1060	Actinobacteria
OTU1061	Gemmatimonadetes
OTU1062	Acidobacteria
OTU1063	Acidobacteria
OTU1064	Chloroflexi
