otu	phylum
OTU466	Firmicutes
OTU467	Proteobacteria
OTU468	Actinobacteria
OTU469	Acidobacteria
OTU470	Proteobacteria
OTU471	Crenarchaeota
OTU472	Proteobacteria
OTU473	Acidobacteria
OTU474	Actinobacteria
OTU475	Proteobacteria
OTU476	Actinobacteria
OTU477	Actinobacteria
OTU478	Actinobacteria
OTU479	Acidobacteria
OTU480	Actinobacteria
OTU481	Gemmatimonadetes
OTU482	Proteobacteria
OTU483	Actinobacteria
OTU484	Proteobacteria
OTU485	Actinobacteria
OTU486	Proteobacteria
OTU487	Proteobacteria
OTU488	Chloroflexi
OTU489	Planctomycetes
OTU490	Acidobacteria
OTU491	Actinobacteria
OTU492	Gemmatimonadetes
OTU493	Proteobacteria
OTU494	WPS-2
OTU495	Acidobacteria
OTU496	Actinobacteria
OTU497	Proteobacteria
OTU498	Actinobacteria
OTU499	Actinobacteria
OTU500	Proteobacteria
OTU501	Bacteroidetes
OTU502	Actinobacteria
OTU503	Acidobacteria
OTU504	Actinobacteria
OTU505	Acidobacteria
OTU506	[Thermi]
OTU507	Proteobacteria
OTU508	Actinobacteria
OTU509	Proteobacteria
OTU510	Proteobacteria
OTU511	Chloroflexi
OTU512	Gemmatimonadetes
OTU513	Gemmatimonadetes
OTU514	Bacteroidetes
OTU515	Crenarchaeota
OTU516	Proteobacteria
OTU517	Chloroflexi
OTU518	Proteobacteria
OTU519	AD3
OTU520	Chloroflexi
OTU521	Acidobacteria
OTU522	Verrucomicrobia
OTU523	Gemmatimonadetes
OTU524	Acidobacteria
OTU525	Chloroflexi
OTU526	Proteobacteria
OTU527	Actinobacteria
OTU528	Actinobacteria
OTU529	Proteobacteria
OTU530	Chloroflexi
OTU531	Actinobacteria
OTU532	Acidobacteria
OTU533	Proteobacteria
OTU534	Chloroflexi
OTU535	Proteobacteria
OTU536	Chloroflexi
OTU537	Proteobacteria
OTU538	Proteobacteria
OTU539	Verrucomicrobia
OTU540	Actinobacteria
OTU541	Proteobacteria
OTU542	Chloroflexi
OTU543	Proteobacteria
OTU544	Actinobacteria
OTU545	Actinobacteria
OTU546	Actinobacteria
OTU547	Actinobacteria
OTU548	Actinobacteria
OTU549	Proteobacteria
OTU550	Proteobacteria
OTU551	Actinobacteria
OTU552	Chloroflexi
OTU553	Proteobacteria
OTU554	Bacteroidetes
OTU555	Firmicutes
OTU556	Proteobacteria
OTU557	AD3
OTU558	Chloroflexi
OTU559	Proteobacteria
OTU560	Actinobacteria
OTU561	Actinobacteria
OTU562	Actinobacteria
OTU563	Gemmatimonadetes
OTU564	Chloroflexi
OTU565	Chloroflexi
OTU566	Proteobacteria
OTU567	Bacteroidetes
OTU568	Chloroflexi
OTU569	Acidobacteria
OTU570	Gemmatimonadetes
OTU571	Proteobacteria
OTU572	Proteobacteria
OTU573	Actinobacteria
OTU574	Chloroflexi
OTU575	Proteobacteria
OTU576	Proteobacteria
OTU577	Gemmatimonadetes
OTU578	Proteobacteria
OTU579	Actinobacteria
OTU580	Actinobacteria
OTU581	Acidobacteria
OTU582	Acidobacteria
OTU583	Bacteroidetes
OTU584	Chloroflexi
OTU585	Actinobacteria
OTU586	Proteobacteria
OTU587	Actinobacteria
OTU588	Actinobacteria
OTU589	Proteobacteria
OTU590	Actinobacteria
OTU591	Chloroflexi
OTU592	Actinobacteria
OTU593	Actinobacteria
OTU594	Actinobacteria
OTU595	Proteobacteria
OTU596	Armatimonadetes
OTU597	AD3
OTU598	Chloroflexi
OTU599	Proteobacteria
OTU600	Chloroflexi
OTU601	Acidobacteria
OTU602	Gemmatimonadetes
OTU603	Proteobacteria
OTU604	Actinobacteria
OTU605	Actinobacteria
OTU606	Acidobacteria
OTU607	Firmicutes
OTU608	Chloroflexi
OTU609	Actinobacteria
OTU610	Proteobacteria
OTU611	Actinobacteria
OTU612	Gemmatimonadetes
OTU613	Planctomycetes
OTU614	Proteobacteria
OTU615	Proteobacteria
OTU616	Actinobacteria
OTU617	Proteobacteria
OTU618	Actinobacteria
OTU619	Chloroflexi
OTU620	Chloroflexi
OTU621	Nitrospirae
OTU622	Proteobacteria
OTU623	Actinobacteria
OTU624	Armatimonadetes
OTU625	Actinobacteria
OTU626	Chloroflexi
OTU627	Planctomycetes
OTU628	Acidobacteria
OTU629	Gemmatimonadetes
OTU630	Proteobacteria
OTU631	Actinobacteria
OTU632	Proteobacteria
OTU633	Actinobacteria
OTU634	Actinobacteria
OTU635	Proteobacteria
OTU636	Proteobacteria
OTU637	Proteobacteria
OTU638	Actinobacteria
OTU639	Acidobacteria
OTU640	Acidobacteria
OTU641	Proteobacteria
OTU642	Firmicutes
OTU643	Planctomycetes
OTU644	Actinobacteria
OTU645	Actinobacteria
OTU646	Chloroflexi
OTU647	Acidobacteria
OTU648	Proteobacteria
OTU649	Proteobacteria
OTU650	Actinobacteria
OTU651	Actinobacteria
OTU652	Proteobacteria
OTU653	Acidobacteria
OTU654	Chloroflexi
OTU655	Actinobacteria
OTU656	Proteobacteria
OTU657	Proteobacteria
OTU658	Proteobacteria
OTU659	Actinobacteria
OTU660	Proteobacteria
OTU661	Actinobacteria
OTU662	Actinobacteria
OTU663	Chloroflexi
OTU664	Gemmatimonadetes
OTU665	Gemmatimonadetes
OTU666	Proteobacteria
OTU667	Chloroflexi
OTU668	Actinobacteria
OTU669	Actinobacteria
OTU670	Actinobacteria
OTU671	Proteobacteria
OTU672	Proteobacteria
OTU673	Actinobacteria
OTU674	Proteobacteria
OTU675	Proteobacteria
OTU676	Gemmatimonadetes
OTU677	Actinobacteria
OTU678	Proteobacteria
OTU679	Actinobacteria
OTU680	Chloroflexi
OTU681	Gemmatimonadetes
OTU682	Proteobacteria
OTU683	Proteobacteria
OTU684	Acidobacteria
OTU685	Actinobacteria
OTU686	TM7
OTU687	Gemmatimonadetes
OTU688	Actinobacteria
OTU689	Bacteroidetes
OTU690	Proteobacteria
OTU691	Actinobacteria
OTU692	Acidobacteria
OTU693	Actinobacteria
OTU694	Actinobacteria
OTU695	Acidobacteria
OTU696	Bacteroidetes
OTU697	Proteobacteria
OTU698	Actinobacteria
OTU699	Proteobacteria
OTU700	Actinobacteria
OTU701	Chloroflexi
OTU702	Actinobacteria
OTU703	AD3
OTU704	Proteobacteria
OTU705	Chloroflexi
OTU706	Actinobacteria
OTU707	Chloroflexi
OTU708	Proteobacteria
OTU709	Chloroflexi
OTU710	Proteobacteria
OTU711	Proteobacteria
OTU712	Euryarchaeota
OTU713	Acidobacteria
OTU714	Acidobacteria
OTU715	Proteobacteria
OTU716	Proteobacteria
OTU717	Proteobacteria
OTU718	Proteobacteria
OTU719	Proteobacteria
OTU720	Chloroflexi
OTU721	Actinobacteria
OTU722	Proteobacteria
OTU723	Actinobacteria
OTU724	Chloroflexi
OTU725	Crenarchaeota
OTU726	Actinobacteria
OTU727	Actinobacteria
OTU728	Proteobacteria
OTU729	Chloroflexi
OTU730	Proteobacteria
OTU731	Actinobacteria
OTU732	Proteobacteria
OTU733	Chloroflexi
OTU734	Gemmatimonadetes
OTU735	Acidobacteria
OTU736	Chloroflexi
OTU737	Acidobacteria
OTU738	Acidobacteria
OTU739	Proteobacteria
OTU740	Proteobacteria
OTU741	Acidobacteria
OTU742	AD3
OTU743	Proteobacteria
OTU744	Firmicutes
OTU745	Gemmatimonadetes
OTU746	Proteobacteria
OTU747	Chloroflexi
OTU748	Proteobacteria
OTU749	Chloroflexi
OTU750	Chloroflexi
OTU751	Actinobacteria
OTU752	Chloroflexi
OTU753	Acidobacteria
OTU754	Chloroflexi
OTU755	Acidobacteria
OTU756	Acidobacteria
OTU757	Proteobacteria
OTU758	Actinobacteria
OTU759	Acidobacteria
OTU760	Chloroflexi
OTU761	TM7
OTU762	Actinobacteria
OTU763	Bacteroidetes
OTU764	Actinobacteria
OTU765	Firmicutes
OTU766	Proteobacteria
OTU767	Proteobacteria
OTU768	Proteobacteria
OTU769	Chloroflexi
OTU770	Actinobacteria
OTU771	Actinobacteria
OTU772	Verrucomicrobia
OTU773	Acidobacteria
OTU774	Actinobacteria
OTU775	Chloroflexi
OTU776	Acidobacteria
OTU777	Actinobacteria
OTU778	Proteobacteria
OTU779	Chloroflexi
OTU780	Bacteroidetes
OTU781	Proteobacteria
OTU782	Bacteroidetes
OTU783	Proteobacteria
OTU784	Proteobacteria
OTU785	Proteobacteria
OTU786	Chloroflexi
OTU787	Bacteroidetes
OTU788	Bacteroidetes
OTU789	Actinobacteria
OTU790	Actinobacteria
OTU791	Actinobacteria
OTU792	Actinobacteria
OTU793	Chloroflexi
OTU794	Actinobacteria
OTU795	Planctomycetes
OTU796	Actinobacteria
OTU797	Actinobacteria
OTU798	Bacteroidetes
OTU799	Proteobacteria
OTU800	Nitrospirae
OTU801	Proteobacteria
OTU802	Actinobacteria
OTU803	Actinobacteria
OTU804	Planctomycetes
OTU805	Proteobacteria
OTU806	Chloroflexi
OTU807	Actinobacteria
OTU808	Actinobacteria
OTU809	Actinobacteria
OTU810	Actinobacteria
OTU811	Proteobacteria
OTU812	Acidobacteria
OTU813	Proteobacteria
OTU814	Chloroflexi
OTU815	Chloroflexi
OTU816	Proteobacteria
OTU817	Proteobacteria
OTU818	Actinobacteria
OTU819	Proteobacteria
OTU820	Proteobacteria
OTU821	Actinobacteria
OTU822	Proteobacteria
OTU823	Acidobacteria
OTU824	Actinobacteria
OTU825	Actinobacteria
OTU826	Acidobacteria
OTU827	Chloroflexi
OTU828	Acidobacteria
OTU829	Actinobacteria
OTU830	Planctomycetes
OTU831	Planctomycetes
OTU832	Actinobacteria
OTU833	Chloroflexi
OTU834	Chloroflexi
OTU835	Actinobacteria
OTU836	Chloroflexi
OTU837	Verrucomicrobia
OTU838	Acidobacteria
OTU839	Proteobacteria
OTU840	TM7
OTU841	Proteobacteria
OTU842	Actinobacteria
OTU843	Actinobacteria
OTU844	Nitrospirae
OTU845	Chloroflexi
OTU846	Proteobacteria
OTU847	Planctomycetes
OTU848	Actinobacteria
OTU849	Planctomycetes
OTU850	Actinobacteria
OTU851	Proteobacteria
OTU852	Proteobacteria
OTU853	Proteobacteria
OTU854	Chloroflexi
OTU855	Actinobacteria
OTU856	Actinobacteria
OTU857	Chloroflexi
OTU858	Chloroflexi
OTU859	Proteobacteria
OTU860	Acidobacteria
OTU861	Chloroflexi
OTU862	Verrucomicrobia
OTU863	
OTU864	Proteobacteria
OTU865	Proteobacteria
OTU866	Proteobacteria
OTU867	Nitrospirae
OTU868	Firmicutes
OTU869	Proteobacteria
OTU870	Acidobacteria
OTU871	Proteobacteria
OTU872	Proteobacteria
OTU873	Bacteroidetes
OTU874	Actinobacteria
OTU875	Proteobacteria
OTU876	Acidobacteria
OTU877	Actinobacteria
OTU878	Proteobacteria
OTU879	Crenarchaeota
OTU880	Chloroflexi
OTU881	Verrucomicrobia
OTU882	Proteobacteria
OTU883	Proteobacteria
OTU884	Verrucomicrobia
OTU885	Actinobacteria
OTU886	Gemmatimonadetes
OTU887	Proteobacteria
OTU888	Proteobacteria
OTU889	Verrucomicrobia
OTU890	Actinobacteria
OTU891	Actinobacteria
OTU892	Proteobacteria
OTU893	Bacteroidetes
OTU894	Verrucomicrobia
OTU895	Actinobacteria
OTU896	Cyanobacteria
OTU897	Proteobacteria
OTU898	Actinobacteria
OTU899	OD1
OTU900	Nitrospirae
OTU901	Cyanobacteria
OTU902	Proteobacteria
OTU903	Chloroflexi
OTU904	Acidobacteria
OTU905	Acidobacteria
OTU906	Actinobacteria
OTU907	Acidobacteria
OTU908	Proteobacteria
OTU909	Cyanobacteria
OTU910	Planctomycetes
OTU911	Chloroflexi
OTU912	Proteobacteria
OTU913	Gemmatimonadetes
OTU914	Actinobacteria
OTU915	Actinobacteria
OTU916	Actinobacteria
OTU917	Chloroflexi
OTU918	Chloroflexi
OTU919	Actinobacteria
OTU920	Gemmatimonadetes
OTU921	Actinobacteria
OTU922	Acidobacteria
OTU923	Proteobacteria
OTU924	Actinobacteria
OTU925	Actinobacteria
OTU926	Proteobacteria
OTU927	Proteobacteria
OTU928	Proteobacteria
OTU929	Planctomycetes
OTU930	Chloroflexi
OTU931	Actinobacteria
OTU932	Proteobacteria
OTU933	Actinobacteria
OTU934	Acidobacteria
OTU935	Planctomycetes
OTU936	Actinobacteria
OTU937	Firmicutes
OTU938	Actinobacteria
OTU939	Actinobacteria
OTU940	Gemmatimonadetes
OTU941	Proteobacteria
OTU942	Chloroflexi
OTU943	Actinobacteria
OTU944	Actinobacteria
OTU945	Bacteroidetes
OTU946	Chloroflexi
OTU947	TM7
OTU948	Proteobacteria
OTU949	Chloroflexi
OTU950	Chloroflexi
OTU951	Firmicutes
OTU952	Proteobacteria
OTU953	Acidobacteria
OTU954	
OTU955	Chloroflexi
OTU956	Verrucomicrobia
OTU957	Actinobacteria
OTU958	Actinobacteria
OTU959	Proteobacteria
OTU960	Proteobacteria
OTU961	Actinobacteria
OTU962	Proteobacteria
OTU963	Chloroflexi
OTU964	Chloroflexi
OTU965	Actinobacteria
OTU966	Bacteroidetes
OTU967	Proteobacteria
OTU968	Chloroflexi
OTU969	Proteobacteria
OTU970	Actinobacteria
OTU971	Actinobacteria
OTU972	Chloroflexi
OTU973	Firmicutes
OTU974	Proteobacteria
OTU975	Proteobacteria
OTU976	Actinobacteria
OTU977	Proteobacteria
OTU978	Acidobacteria
OTU979	Proteobacteria
OTU980	Gemmatimonadetes
OTU981	Actinobacteria
OTU982	Gemmatimonadetes
OTU983	Planctomycetes
OTU984	Proteobacteria
OTU985	Actinobacteria
OTU986	Acidobacteria
OTU987	Chloroflexi
OTU988	Proteobacteria
OTU989	Proteobacteria
OTU990	Proteobacteria
OTU991	Planctomycetes
OTU992	Proteobacteria
OTU993	Chloroflexi
OTU994	Actinobacteria
OTU995	Acidobacteria
OTU996	Proteobacteria
OTU997	Planctomycetes
OTU998	Proteobacteria
OTU999	Acidobacteria
OTU1000	Proteobacteria
OTU1001	Crenarchaeota
OTU1002	Proteobacteria
OTU1003	Chloroflexi
OTU1004	Actinobacteria
OTU1005	Bacteroidetes
OTU1006	Chloroflexi
OTU1007	Chloroflexi
OTU1008	Proteobacteria
OTU1009	Proteobacteria
OTU1010	Gemmatimonadetes
OTU1011	Acidobacteria
OTU1012	Chloroflexi
OTU1013	Proteobacteria
OTU1014	Actinobacteria
OTU1015	Gemmatimonadetes
OTU1016	Actinobacteria
OTU1017	Proteobacteria
OTU1018	Acidobacteria
OTU1019	Actinobacteria
OTU1020	Actinobacteria
OTU1021	Bacteroidetes
OTU1022	Acidobacteria
OTU1023	Actinobacteria
OTU1024	Proteobacteria
OTU1025	Proteobacteria
OTU1026	Proteobacteria
OTU1027	Proteobacteria
OTU1028	Chloroflexi
OTU1029	Gemmatimonadetes
OTU1030	Acidobacteria
OTU1031	Proteobacteria
OTU1032	Proteobacteria
OTU1033	Chloroflexi
OTU1034	Proteobacteria
OTU1035	Actinobacteria
OTU1036	TM7
OTU1037	Chloroflexi
OTU1038	Verrucomicrobia
OTU1039	Chloroflexi
OTU1040	Firmicutes
OTU1041	Actinobacteria
OTU1042	Proteobacteria
OTU1043	Bacteroidetes
OTU1044	Acidobacteria
OTU1045	Acidobacteria
OTU1046	Actinobacteria
OTU1047	Planctomycetes
OTU1048	Chloroflexi
OTU1049	Bacteroidetes
OTU1050	Chloroflexi
OTU1051	Proteobacteria
OTU1052	
OTU1053	Chloroflexi
OTU1054	Chloroflexi
OTU1055	Firmicutes
OTU1056	Actinobacteria
OTU1057	Actinobacteria
OTU1058	Proteobacteria
OTU1059	Actinobacteria
OTU1060	Actinobacteria
OTU1061	Gemmatimonadetes
OTU1062	Acidobacteria
OTU1063	Acidobacteria
OTU1064	Chloroflexi
